file,cum min,TimeOfDay,Site,hydrophone,ACI,ACI_LF,log ACI_HF,log 1-Hf,log M,dir,,ACI hi,H,sqrt H,Hf,1-Hf,M,minute,TimeOrig
19,36,4,2,6,165.4039719,44.17487946,2.070312885,-1.187197015,-3.273188059,6,,127.4151676,0.859378268,0.927026574,0.890202471,0.109797529,0.00270772,2,2
19,41,4,2,6,169.9335803,49.0078528,2.072309807,-1.067337602,-3.220312619,6,,122.5852367,0.837106647,0.914935324,0.869286963,0.130713037,0.003813744,2,2
17,1,4,2,8,164.7023783,43.52119561,2.071969636,-0.885169316,-3.195741954,6,,122.7746726,0.830617643,0.911382271,0.859925103,0.140074897,0.003798366,2,2
17,6,4,2,8,170.3640641,49.18674937,2.071580285,-0.840533587,-3.205935998,6,,123.2448564,0.849004696,0.921414508,0.883404026,0.116595974,0.001208067,7,2
17,11,4,2,8,167.6990662,46.77183732,2.071105526,-0.859179377,-3.208941256,6,,123.7861454,0.857654193,0.926096212,0.88330799,0.11669201,0.003103614,7,2
18,16,4,2,8,168.3120708,47.62133767,2.071392006,-0.858570412,-3.213911169,6,,123.6381736,0.827392357,0.909611102,0.859727827,0.140272173,0.004342437,7,2
18,21,4,2,8,181.3507292,53.28361879,2.095012088,-0.838232882,-3.230402628,6,,125.9347531,0.831678088,0.911963863,0.865729838,0.134270162,0.003269553,7,2
18,26,4,2,8,165.3220434,45.29374196,2.068114635,-0.862209493,-3.200809067,6,,123.0629276,0.857699723,0.926120793,0.891640273,0.108359727,0.001250505,12,2
19,31,4,2,8,166.7065648,45.40341029,2.070467636,-0.919206043,-3.19387771,6,,122.5033964,0.867605847,0.93145362,0.896347042,0.103652958,0.002800465,12,2
19,36,4,2,8,169.7534818,49.13511309,2.069496927,-0.830532469,-3.14064431,6,,122.8233162,0.832676802,0.912511261,0.867526336,0.132473664,0.003526568,12,2
19,41,4,2,8,169.1058193,48.9413039,2.069145571,-0.848394202,-3.157649168,6,,123.2170721,0.83901973,0.915980202,0.870732982,0.129267018,0.003565669,12,2
34,1,4,3,4,177.7465196,48.91710095,2.098935562,-0.921719825,-2.337170138,10,,116.9652378,0.952716246,0.976071845,0.990927978,0.009072022,0.000280976,2,3
34,6,4,3,4,175.5079312,49.87873891,2.088236115,-0.892001335,-2.291181957,10,,119.4671283,0.906750137,0.952234287,0.972660888,0.027339112,0.000354767,2,3
34,11,4,3,4,181.1871217,47.63511715,2.114315344,-0.926600568,-2.324647824,10,,117.9430941,0.893806134,0.945413208,0.969808862,0.030191138,0.000344276,2,3
35,16,4,3,4,179.9831377,48.58570637,2.108408147,-0.896569043,-2.363699503,10,,120.3874211,0.886331595,0.941451855,0.953553998,0.046446002,0.000314116,2,3
35,21,4,3,4,173.5456841,47.97875612,2.087738475,-0.873941315,-2.399125077,10,,116.6476207,0.953354796,0.976398892,0.990888943,0.009111057,0.000274539,7,3
35,26,4,3,4,177.1777833,50.66943597,2.092556983,-0.880766133,-2.370717649,10,,116.8790876,0.93071712,0.964736814,0.983563371,0.016436629,0.000328898,7,3
36,31,4,3,4,174.8762324,48.10920361,2.093313296,-0.894168951,-2.424277817,10,,116.7393405,0.933972704,0.966422632,0.984001302,0.015998698,0.000326157,7,3
36,36,4,3,4,173.6230403,47.94997116,2.089059329,-0.871881876,-2.384199822,10,,117.6809973,0.873357556,0.934536011,0.955711315,0.044288685,0.000297546,7,3
36,41,4,3,4,179.2042859,43.74168995,2.122543924,-0.931568189,-2.344489596,10,,117.4178662,0.944948407,0.972084568,0.990472307,0.009527693,0.000274062,12,3
34,1,4,3,5,181.2617348,57.30817975,2.081393629,-1.001725087,-2.39056632,10,,124.1863873,0.891226322,0.944047839,0.966756878,0.033243122,0.000355959,12,3
34,6,4,3,5,186.1147908,59.11341052,2.08976315,-1.028674117,-2.381449773,10,,125.6953343,0.897636815,0.947436972,0.967246288,0.032753712,0.000361681,12,3
34,11,4,3,5,185.2324324,58.22071038,2.09050995,-1.033027597,-2.401571848,10,,121.6104562,0.864968299,0.930036719,0.934593201,0.065406799,0.000375509,12,3
35,16,4,3,5,179.8947261,56.74022541,2.078415647,-0.973698534,-2.40878375,10,,116.693057,0.943741288,0.971463477,0.987622472,0.012377528,0.000282168,2,3
35,21,4,3,5,184.7114119,57.6083125,2.087969937,-0.992072505,-2.420348769,10,,118.3046671,0.924787309,0.961658624,0.977992535,0.022007465,0.000342131,2,3
35,26,4,3,5,181.3630854,57.63744501,2.080467253,-0.966241099,-2.382935149,10,,121.0002995,0.900756365,0.949081854,0.972227556,0.027772444,0.000347018,2,3
36,31,4,3,5,180.521786,55.46638441,2.085463421,-0.99163905,-2.41803806,10,,119.4630728,0.89117067,0.944018363,0.953333291,0.046666709,0.000323892,2,3
36,36,4,3,5,175.4229796,52.06692581,2.080083441,-0.990442537,-2.436509066,10,,116.5873378,0.956148412,0.977828416,0.990222289,0.009777711,0.000274897,7,3
36,41,4,3,5,176.9567547,52.76258836,2.082374898,-0.978526372,-2.417590931,10,,116.6438989,0.94149422,0.970306251,0.985522403,0.014477597,0.000325561,7,3
34,1,4,3,6,177.779172,55.23400834,2.076558665,-0.937514816,-2.306071072,10,,116.6911008,0.91959248,0.958953847,0.980069361,0.019930639,0.000330687,7,3
34,6,4,3,6,181.06956,56.67981806,2.081447768,-0.944456408,-2.293669074,10,,116.8026589,0.874336022,0.935059368,0.949461543,0.050538457,0.000298738,7,3
